Monthly Rent,Location,Bedrooms,Bathrooms,Receptions,Description,Nearest Station,Distance (miles),Long Description,Available,Link
1495.0,"Gastigny House, Lever Street, City Of London EC1V",1.0,1.0,1.0,1 bed flat ,Old Street,0.3 ,Situated on the fourth floor is this well presented one bedroom apartment,Available immediately,https://www.zoopla.co.uk/to-rent/details/56112216
1192.0,"Gloucester Terrace, Lancaster Gate W2",,1.0,1.0,Studio ,Lancaster Gate,0.2 ,"Gloucester Terrace, Lancaster Gate, London, W2 £275.00 Per Week Ref: 915 Property Details Happy to offer this spacious Double studio flat in this period conversion property in Gloucester Terrace, Lancaster Gate, London, W2 The property consists of: * Fu",Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56114219
2383.0,"Clarges Street, Mayfair W1J",1.0,1.0,1.0,1 bed flat ,Green Park,0.1 ,"An amazing luxurious 1 bedroom flat. This is a well located flat for rent in a building with porter and lift opposite Green Park. Situated on the third floor, the property has a large bedroom with ample storage space.",Available from 15th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56114132
1950.0,"Canonbury Street, London N1",2.0,1.0,1.0,2 bed flat ,Essex Road,0.1 ,A well-sized two bedroom flat located on this tree lined street in the heart of Canonbury moments to Angel and Upper Street. Available the 3rd October and unfurnished.,Available from  3rd Oct 2020,https://www.zoopla.co.uk/to-rent/details/49850980
1950.0,"Whitbread House, The Residence, Nine Elms Lane SW11",2.0,1.0,1.0,2 bed flat ,Vauxhall,0.5 ,"**3 weeks rent free (subject to terms and conditions)** This two-bedroom apartment feature two double bedrooms, built in wardrobe to the master, modern three piece bathroom suite, plenty of storage, laminate flooring throughout with tiling to ...",Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56114204
1700.0,"L&Q At The Residence, Nine Elms Lane SW11",1.0,1.0,1.0,1 bed flat ,Vauxhall,0.5 ,"L&Q are offering 3 weeks rent free* This one-bedroom apartments feature a double bedroom, built in wardrobe, modern three piece bathroom suite, plenty of storage, laminate flooring throughout with tiling to bathrooms and plush carpet to bedrooms and ...",Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56114202
1452.0,"Gloucester Terrace, London W2",,1.0,1.0,Studio ,Lancaster Gate,0.2 ,"Gloucester Terrace, Lancaster Gate, London, W2 £335.00 Per Week Ref: 1324 Property Details Happy to offer this spacious Double studio flat in this period conversion property in Gloucester Terrace, Lancaster Gate, London, W2 The Property Consists Of: * Ful",Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113894
2470.0,"Falkland Road, Kentish Town NW5",3.0,2.0,1.0,3 bed flat ,Kentish Town,0.2 ,"A spacious three double bedroom split level conversion with a very spacious reception room, fitted modern kitchen, 2 bathroom, large terrace & ample storage",Available from 22nd Oct 2020,https://www.zoopla.co.uk/to-rent/details/44858886
1950.0,"Nell Gwynn House, Sloane Avenue, Chelsea SW3",1.0,,1.0,1 bed flat ,Sloane Square,0.4 ,"A stunning one double bedroom apartment, located on the ground floor in a very popular and stylish art deco block with 24 hour concierge services. The property is located within a walking distance from the famous Kings Road and the Saatchi Gallery, ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56114121
1950.0,"Nell Gwynn House, Sloane Avenue, Chelsea SW3",1.0,,1.0,1 bed flat ,Sloane Square,0.4 ,"A stunning one double bedroom apartment, located on the ground floor in a very popular and stylish art deco block with 24 hour concierge services. The property is located within a walking distance from the famous Kings Road and the Saatchi Gallery, ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56114120
1703.0,"Claylands Place, London SW8",1.0,1.0,1.0,1 bed flat ,Oval,0.1 ,A spacious one bedroom flat available to rent with private garden a short walk to Oval Station.,Available immediately,https://www.zoopla.co.uk/to-rent/details/56114115
1450.0,"Sancroft Street, Kennington SE11",1.0,1.0,1.0,1 bed flat ,Vauxhall,0.4 ,One bedroom apartment in Vauxhall,Available from 17th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56114109
2100.0,"St Paul's View, Amwell Street, Angel EC1R",2.0,1.0,1.0,2 bed flat ,Angel,0.4 ,"City/Sadler's Wells A bright, 2 bedroom, 3rd floor apartment in a very popular secure block. Available from 5th October 2020.",Available from  5th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56114104
3000.0,"Vauxhall Bridge Road, Victoria SW1V",3.0,2.0,,3 bed flat ,Victoria,0.1 ,"Victoria - 3 Double bedroom property on Vauxhall Bridge Road, within a few minutes of Victoria Station. Available 1st October 2020.",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/52552313
2100.0,"Chester Close, Albany Street, Regents Park NW1",2.0,1.0,1.0,2 bed flat ,Great Portland Street,0.3 ,Regents Park - Two double bedroom apartment on the 2nd floor of this well maintained block. Ideally located for city and West End. Unfurnished or furnished - landlord is flexible. Available 5th October 2020.,Available from  5th Oct 2020,https://www.zoopla.co.uk/to-rent/details/49680972
1885.0,"Palm House, Sancroft Street, Vauxhall, London SE11",1.0,1.0,1.0,1 bed flat ,Vauxhall,0.4 ,"Located within this modern residential scheme, a fully furnished apartment situated on the garden level of this private development, Palm House. This 552 sq ft one bedroom apartment with its own secure entrance accessed via the private landscaped ...",Available from 29th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56114085
1517.0,"Mansell Street, London E1",1.0,1.0,1.0,1 bed flat ,Tower Gateway,0.1 ,"The apartment is located on the third floor & boasts of internal living space consisting of a huge reception room, private balcony, separate modern kitchen, bathroom with a bathtub and stand up shower & a large double bedroom with built in wardrobes. ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56114020
3198.0,"Baytree Mews, London SE17",4.0,2.0,1.0,4 bed property ,Elephant & Castle,0.4 ,"A spacious four bedroom terraced house, set within a quiet gated mews which benefits from off street parking. The property has recently been refurbished and features a bright open plan kitchen which leads onto a private garden, a separate reception ...",,https://www.zoopla.co.uk/to-rent/details/56114042
5200.0,"Wesley Court, 51-55 Weymouth Street, London W1G",2.0,2.0,1.0,2 bed flat ,Regent's Park,0.3 ,A beautifully interior designed 2 bedroom apartment that has been fully refurbished to an extremely high specification and is excellently located on the second floor of a period block tucked behind the increasingly popular Marylebone High Street. Long let,Available from 14th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113994
1517.0,"Commercial Road, Aldgate E1",1.0,1.0,1.0,1 bed flat ,Aldgate East,0.2 ,"Large one double bedroom apartment situated on the second floor of this sought after private development located within a few minutes of Aldgate and the City. The development boasts 24 hour concierge, on site residents gym, spa and large communal roof ter",Available from  2nd Nov 2020,https://www.zoopla.co.uk/to-rent/details/56114000
2015.0,"York Street, London W1U",1.0,1.0,1.0,1 bed flat ,Baker Street,0.2 ,"A recently refurbished, bright and spacious, one bedroom apartment situated on the garden level with own entrance and private patio garden, superbly located moments from Baker Street amenities. Available furnished.",Available from 23rd Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113974
2350.0,"Ecclesbourne Apartments, 64 Ecclesbourne Road, London N1",2.0,1.0,1.0,2 bed flat ,Essex Road,0.3 ,"Stunning 2 bed converted period property in N1, located close to Highbury and Islington and Angel stations. Description A light and spacious 2 bedroom school conversion, located in a quiet, sought after area within a secure development. The property ...",Available from  3rd Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113973
1083.0,"Webber Street, London SE1",1.0,1.0,,1 bed flat ,Southwark,0.2 ,"***Mins walk to London Eye, Waterloo***Well finished studio apartment situated within a period property and located within minutes of both Southwark and Waterloo. The apartment has been finished to a high standard with solid wood floors, modern fitted kit",Available from 21st Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113932
2210.0,"Hill Street, London W1J",,1.0,1.0,Studio ,Green Park,0.3 ,"A good sized studio apartment on the 8th floor of this beautiful red brick building, situated in the heart of London’s fashionable Mayfair, neighbouring the famous Berkeley Square. The apartment comprises a large living room area, modern bathroom and ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113961
2600.0,"Harmood Street, Chalk Farm NW1",4.0,1.0,,4 bed flat ,Kentish Town West,0.1 ,Available now Up My Street are delighted to market this fabulous four bedroom apartment in the heart of Camden Town This spacious 4 bed property is located only moments away from Chalk Farm station. **Early viewings are advised**,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113945
2015.0,"Phoenix Road, London NW1",2.0,1.0,1.0,2 bed flat ,Euston,0.1 ,Lovely two bedroom apartment situated in a peaceful area of central London,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113934
1733.0,"Long Lane, London SE1",3.0,,,3 bed flat ,Borough,0.3 ,"++video viewing available++Recently refurbished, nbsp;three double bedroom apartment (No reception room) nbsp;is located on the second nbsp;floor nbsp;of a very well maintained ex- local authority building. Offering 540 nbsp;sq.ft of living and ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113925
1950.0,"Gloucester Road, South Kensington SW7",2.0,1.0,1.0,2 bed flat ,Gloucester Road,0.3 ,"A well laid out two bedroom flat situated only minutes away from Hyde Park and the amenities of Gloucester Road. The property offers two double bedrooms with built in wardrobes, reception room with open plan kitchen, wooden flooring throughout and good si",Available from 27th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113638
1517.0,"Eden Grove, London N7",1.0,1.0,1.0,1 bed flat ,Holloway Road,0.1 ,"Set within the sought after Vizion7 development, this one bedroom open plan property benefits from modern fittings and concierge facility whilst being only minutes from Holloway Road Tube.",Available from  2nd Nov 2020,https://www.zoopla.co.uk/to-rent/details/56113878
3142.0,"120, Elephant Road, London SE17",2.0,,,2 bed flat ,Elephant & Castle,0.1 ,Free gym box membership included (T&Cs apply) - resi Landlord of the Year presents an amazing two bed duplex with stunning views. The size of this 19th floor two bedroom apartment is the first thing that strikes people when they walk in.,,https://www.zoopla.co.uk/to-rent/details/49028226
2747.0,"Fosbury Mews, Bayswater W2",3.0,2.0,1.0,3 bed terraced house ,Queensway,0.1 ,A wonderfully located modern mews house moments from Hyde Park and the Central Line (Queensway). Please note there is building work close to the property,Available from  7th Oct 2020,https://www.zoopla.co.uk/to-rent/details/41878415
6283.0,"Merchant Square, Paddington, London W2",3.0,2.0,1.0,3 bed flat ,Edgware Road Bakerloo,0.1 ,"A beautiful three bedroom apartment with water views, set within the heart of the Paddington Basin, London W2. The property comprises a beautiful reception room with superb views, three double bedrooms, two bathrooms, modern fully fitted kitchen with ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/45963793
2383.0,"5, Castle Square, London SE17",2.0,,,2 bed flat ,Elephant & Castle,0.1 ,"Free gym box membership included (T&Cs apply) Situated on the sixth floor, this South-West facing home is perfectly positioned to capitalise on sunlight whilst making the most of fantastic views of the London Eye.",,https://www.zoopla.co.uk/to-rent/details/56113847
1842.0,"Cayenne Court, London SE1",1.0,1.0,1.0,1 bed flat ,Tower Hill,0.5 ,"Superb apartment at the heart of Shad Thames, offering over 630 sq. Ft. Of internal space, west facing reception (w/ small balcony), separate kitchen (w/ integrated appliances), spacious bedroom and main bathroom, set within the popular Cayenne Court ...",Available from 30th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113754
1192.0,"Gloucester Terrace, London W2",,1.0,1.0,Studio ,Lancaster Gate,0.2 ,"Gloucester Terrace, Lancaster Gate, London, W2 £275.00 Per Week Ref: 1063 Property Details Happy to offer this spacious Double studio flat in this period conversion property in Gloucester Terrace, Lancaster Gate, London, W2 The Property Consists Of: * Fu",Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113716
2750.0,"Mildmay Road, Islington, London N1",2.0,2.0,1.0,2 bed maisonette ,Canonbury,0.4 ,"Upper floor maisonette in a beautiful period conversion located on a tree lined street in Newington Green. Two double bedrooms, large bright lounge, modern kitchen and two bathrooms, south facing roof terrace. Long let",Available from 21st Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113707
3077.0,"Eustace Building, Chelsea Bridge Wharf, London SW11",2.0,2.0,1.0,2 bed flat ,Battersea Park,0.3 ,"Lavish two bedroom apartment located on the seventh floor in the Eustace Building, Chelsea Bridge Wharf. This apartment is fully air conditioned with an open plan kitchen and lounge leading straight to the large terrace. Stunning west facing views ...",Available from 20th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113708
2200.0,"Brixton Road, Kennington SW9",3.0,1.0,1.0,3 bed flat ,Stockwell,0.4 ,"**sharers are welcome** A newly refurbished three double bedroom flat, with separate kitchen and separate reception/dining room, situated within close proximity of Oval and Stockwell Tube Stations. Available Now!",Available from 12th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113666
1800.0,"Tanner Street, London Bridge SE1",1.0,1.0,1.0,1 bed flat ,London Bridge,0.4 ,Spacious 1 bed in Maltings Place. 6 mins walk to London Bridge station and 1 minute to Bermondsey Street. Concierge on site and security too. Furnished. Wooden flooring and double glazing. Large terrace. Floor to ceiling windows. Video available.,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113659
1300.0,"Victoria Station, Central London SW1V",1.0,1.0,,Room ,London Victoria,0.3 ,Central London Location for Couple and a Family of 3,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113660
2600.0,"Langdon Court, City Road EC1V",3.0,1.0,1.0,3 bed maisonette ,Angel,0.2 ,Online & video viewings available flexible move in date. Pleased to present this spacious three bedroom plus lounge maisonette in the heart of angel. 5 mins walk to Angel Station. Ideal for city students,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113642
1400.0,"Kennington Road, London SE11",1.0,1.0,1.0,1 bed flat ,Lambeth North,0.3 ,"Presenting this large one bedroom flat comprising of a spacious double bedroom. The property offers a large double bathroom, large fitted kitchen with hood extractor fan oven, basin with mixer taps. Large bathroom. This flat is located close to many ...",Available from 30th Sep 2020,https://www.zoopla.co.uk/to-rent/details/54681722
2925.0,"Hill Street, Mayfair, London W1J",1.0,1.0,1.0,1 bed flat ,Green Park,0.3 ,A newly refurbished one bedroom apartment of 441 square feet.,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113625
1798.0,"Coniston Court, Kendal Street, Hyde Park, London W2",1.0,1.0,1.0,1 bed property ,Marble Arch,0.3 ,"A well presented bright 1 bed 1 bath flat located in a secure portered block in Connaught Village. The property benefits from good storage, fitted wardrobes, fully fitted kitchen, spacious bedroom. (contd...)",Available from  1st Oct 2020,https://www.zoopla.co.uk/to-rent/details/36028958
1733.0,"Sawmill Studios, Parr Street, Old Street N1",1.0,1.0,,1 bed flat ,Essex Road,0.5 ,"New Build 1 bed apartment in Sawmill Studios, Parr Street, London N1 for rental",Available from 15th Sep 2020,https://www.zoopla.co.uk/to-rent/details/42649080
2492.0,"Maygood Street, London N1",3.0,1.0,1.0,3 bed flat ,Angel,0.3 ,We are pleased to offer this three double bedroom flat located within this private block and being within a short walk to Angel tube Station and numerous local amenities . The flat comes with basic furniture and benefits from three good size double bedroo,Available from 27th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113504
1296.0,"Judd Street, London WC1H",1.0,1.0,,1 bed flat ,King's Cross St. Pancras,0.2 ,"A spacious studio flat, set in a red brick mansion block on Judd Street. Spanning over 353 sqft, this well presented property comprises a large double bedroom featuring ample built in wardrobe space and room for a desk. The recently renovated ...",Available from 19th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113498
1798.0,"The Bakery, Southgate Road N1",1.0,1.0,,1 bed flat ,Haggerston,0.4 ,"A smart and modern, generously sized one-bedroom apartment in The Bakery, Southgate Road, De Beauvoir. Accommodation is well proportioned and laid out of circa 617 sq ft; comprising a large living room with juliete balcony, separate kitchen, double ...",Available from 13th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113491
1993.0,"Chalk Farm Road, Camden Town NW1",1.0,1.0,1.0,1 bed flat ,Kentish Town West,0.3 ,"A larger than average, one bed flat with the added benefit of a mezzanine level, ideal for an occasional 2nd bedroom/Study, spacious open plan living, fully furnished, within close walking distance to Chalk Farm station and the vibrant Camden market.",Available from 30th Sep 2020,https://www.zoopla.co.uk/to-rent/details/42061420
4983.0,"St. Johns Wood Park, London NW8",3.0,2.0,1.0,3 bed flat ,South Hampstead,0.3 ,A beautifully refurbished three bedroom apartment on the tenth floor of this prestigious building.,Available from 10th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113441
2145.0,"The Waterson Building, Long Street, Shoreditch E2",1.0,1.0,1.0,1 bed property ,Hoxton,0.2 ,"""**no admin fees** Abby Properties presents this Elegant 1 bed & 1 bath flat in The Waterson Building featuring full length windows providing plenty of natural light, modern interior & furnishings, wooden floor all throughout, bright & airy ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113429
1600.0,"Charlwood Street, London SW1V",1.0,1.0,,1 bed flat ,Pimlico,0.3 ,"This well presented first floor one double bedroom flat boasting generous living space, fully equipped separate kitchen and good storage options. Front facing private balcony. Double bedroom. Furnished throughout. Available 1st October.",Available from 25th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113431
1690.0,"Aquarius House, St George Wharf, Vauxhall, London SW8",1.0,1.0,1.0,1 bed flat ,Vauxhall,0.1 ,"Available now is this this exquisite one double bedroom on a high floor. Designed to a superior specification, offering a superb riverside location, stylish décor, premium fittings and quality furnishings throughout. Unfurnished.",Available immediately,https://www.zoopla.co.uk/to-rent/details/41996127
2999.0,"Old Brompton Road, London SW7",3.0,1.0,,3 bed flat ,South Kensington,0.1 ,"Video tour available upon request Immaculately presented two/three double bedroom apartment in the beautiful Sussex Mansions, located just a stones throw from South Kensington Station and local amenities.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113419
2167.0,"Aldersgate Street, London EC2Y",2.0,2.0,1.0,2 bed flat ,Barbican,0.1 ,"A luxurious 2 double-bedroom, 2-bathroom apartment located seconds from Barbican Station.",Available from 18th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113410
2925.0,"Hill Street, Mayfair, London W1J",1.0,1.0,1.0,1 bed flat ,Green Park,0.3 ,A newly refurbished one bedroom apartment of 421 square feet.,Available from 20th Sep 2020,https://www.zoopla.co.uk/to-rent/details/50910605
2145.0,"Elmore Street, London N1",1.0,1.0,1.0,1 bed flat ,Essex Road,0.3 ,A split level period one bedroom conversion apartment in this sought after quiet tree lined street with access to Essex Road station and Haggerston.,Available from 19th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113352
1504.0,"Stockwell Park Road, London SW9",1.0,1.0,1.0,1 bed flat ,Stockwell,0.2 ,A spacious one bedroom flat available to rent in the popular Stockwell Conservation area with easy access to Stockwell station & local amenities.,Available immediately,https://www.zoopla.co.uk/to-rent/details/56113344
2253.0,"Hill Street, Mayfair, London W1J",,1.0,1.0,Studio ,Green Park,0.3 ,A studio apartment of approximately 330 square feet.,Available from 10th Sep 2020,https://www.zoopla.co.uk/to-rent/details/51507232
2491.0,"Underwood Street, Old Street N1",2.0,1.0,1.0,2 bed flat ,Old Street,0.3 ,"With larger than average homes all fitted to a high specification - perfect for both sharers and families, each apartment consists of a modern, fully integrated kitchen, contemporary 3 piece bathroom suites with chrome finishes offering practical solutio",Available immediately,https://www.zoopla.co.uk/to-rent/details/52697474
2817.0,"Marathon House, Marylebone Road, Marylebone NW1",1.0,2.0,1.0,1 bed flat ,Marylebone,0.1 ,"Residenza is delighted to bring to the market this stunning 1 bed flat in Marylebone, close to many transport links and amenities. Virtual Viewing Available",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113325
2190.0,"Crawford Building, Aldgate E1",1.0,1.0,,1 bed flat ,Aldgate East,0.0 ,"A modern, 679 sq ft, 1 bedroom apartment with views over the London sky-line and located moments from Aldgate East station.",Available from 29th Oct 2020,https://www.zoopla.co.uk/to-rent/details/56113296
2210.0,"Hill Street, Mayfair, London W1J",,1.0,1.0,Studio ,Green Park,0.3 ,A studio apartment of 291 square feet,Available immediately,https://www.zoopla.co.uk/to-rent/details/51413867
693.0,"Hollybush Gardens, Bethnal Green, London E2",,1.0,,Room ,Bethnal Green,0.1 ,A bright Double room within this six bedroom apartment flat share. This well proportioned property is a spacious five bedroom apartment located within a great location of Bethnal Green. The apartment is situated within a short walk from Bethnal Green ...,Available immediately,https://www.zoopla.co.uk/to-rent/details/52309336
750.0,"Commercial Road, Aldgate/London E1",1.0,8.0,,Room ,Shadwell,0.2 ,"***all bills included*** This exclusive ensuite double rooms located in a flat in the Aldgate area (E1). Property benefits from a shared fully fitted kitchen with modern appliances. Ensuite bathroom and shower . Great location, 5 to 7 mints walking ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113271
2058.0,"Nell Gwynn House, Sloane Avenue, Chelsea SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.4 ,"Oig Real Estate are pleased to present this newly refurbished one bedroom apartment. The property benefits from wooden flooring, an open plan kitchen/reception, 24-hour porterage & passenger lift",,https://www.zoopla.co.uk/to-rent/details/56113269
1499.0,"Scala Street, London W1T",1.0,1.0,1.0,1 bed flat ,Goodge Street,0.1 ,"One bedroom flat on Scala Street close to Goodge Street Underground Station and local amenities. Available now, Offered Furnished. Video tour available",Available from 12th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113267
2058.0,"Neroli House, Piazza Walk, London E1",,1.0,1.0,Studio ,Aldgate East,0.2 ,A spacious Studio apartment t in Goodman's Field with fantastic City and Canary Wharf views. Residence also benefits from private swimming pool and gym.,Available from 17th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113262
6478.0,"Sloane Street, London SW1X",3.0,2.0,1.0,3 bed flat ,Knightsbridge,0.1 ,Stunning lateral three bedroom apartment refurbished to a very high standard located in the heart of Knightsbridge. 2064 sq ft.,Available immediately,https://www.zoopla.co.uk/to-rent/details/51281910
1473.0,"Ashbridge Street, London NW8",1.0,1.0,1.0,1 bed flat ,London Marylebone,0.2 ,"1 Bedroom Flat - Amenities nearby, Transport links is very close.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113247
3200.0,"Windsor Terrace, Hoxton N1",5.0,1.0,,5 bed duplex ,Old Street,0.3 ,"A light and airy 5 bedroom apartment within a low ex council available from Mid September in Hoxton. The property comes with 5 bedrooms 3 of which are doubles and 2 good sized singles, a good sized separate fitted kitchen, a 3 piece tiled bathroom with a",Available from 15th Sep 2020,https://www.zoopla.co.uk/to-rent/details/56113246
2345.0,"Inwood Court, Rochester Square NW1",4.0,1.0,,4 bed flat ,Camden Road,0.2 ,"Available now online & video viewings available Four bedroom purpose built flat, part of an attractive block on Rochester Square. It is perfectly located within easy reach of Camden Town, Holloway and King's Cross.",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113210
8667.0,"Endell Street, London WC2H",3.0,3.0,1.0,3 bed maisonette ,Covent Garden,0.2 ,A bright and spacious three bedroom apartment with access via a private gated courtyard.,,https://www.zoopla.co.uk/to-rent/details/54601329
2167.0,"Westland Place, London N1",2.0,2.0,,2 bed flat ,Old Street,0.2 ,"*video reservation available* Stunning 3 bedroom penthouse suit available within a short walk from Old Street station, fully furnished, open plan living room/kitchen, available now!",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113202
1600.0,"Delta Street, London E2",1.0,1.0,1.0,1 bed flat ,Bethnal Green,0.4 ,This good size one bedroom ground floor apartment with good storage and large front patio/garden area is ideally located near Bethnal Green and all its local amenities,Available from  2nd Nov 2020,https://www.zoopla.co.uk/to-rent/details/40971989
750.0,"Commercial Road, Aldgate/London E1",8.0,8.0,,8 bed shared accommodation ,Shadwell,0.2 ,"***all bills included*** This exclusive ensuite double rooms located in a flat in the Aldgate area (E1). Property benefits from a shared fully fitted kitchen with modern appliances. Ensuite bathroom and shower . Great location, 5 to 7 mints walking ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113182
1300.0,"Hillmarton Road, Islington N7",1.0,1.0,1.0,1 bed flat ,Caledonian Road,0.2 ,Alex Marks are pleased to present this massive 1 double bedroom flat in a period building which is located within easy reach of Caledonian Road tube station,,https://www.zoopla.co.uk/to-rent/details/56113155
2340.0,"Trinity Church Square, London SE1",2.0,1.0,1.0,2 bed flat ,Borough,0.2 ,A two bedroom flat to rent in the elegant Trinity Church Square SE1.,,https://www.zoopla.co.uk/to-rent/details/56113154
2600.0,"Bank Chambers, 25 Jermyn Street, London SW1Y",1.0,1.0,1.0,1 bed flat ,Piccadilly Circus,0.1 ,"A Contemporary one-bedroom apartment with stunning interiors, situated in a portered block the heart of Mayfair. Moments from Piccadilly Circus and Green Park underground stations.",,https://www.zoopla.co.uk/to-rent/details/56113150
2600.0,"Draycott Avenue, London SW3",2.0,1.0,1.0,2 bed flat ,Sloane Square,0.3 ,Bright two bedroom apartment moments from the Kings Road and Sloane Square.,,https://www.zoopla.co.uk/to-rent/details/56113132
10001.0,"Abbey Gardens, St John's Wood, London NW8",4.0,3.0,3.0,4 bed detached house ,St. John's Wood,0.3 ,A 4 bedroom family home with garden and parking in St John's Wood NW8.,,https://www.zoopla.co.uk/to-rent/details/56113131
1950.0,"Nell Gwynn House, Sloane Avenue, Chelsea SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.4 ,"Attractively furnished modern one double bedroom 2nd floor apartment. The property is located in Nell Gwynn House, a very popular and secure portered building conveniently located for Sloane Square and South Kensington underground stations, as well ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113111
1950.0,"Sloane Avenue, Kings Road, London SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.4 ,Long let. This outstanding 1 bedroom apartment is presented in excellent condition and is located on the 3rd floor of a sought after art deco building (with Lift and Porter) and boasts a modern open plan kitchen. Sloane Avenue is ideally located for ...,,https://www.zoopla.co.uk/to-rent/details/56113107
3250.0,"Sloane Avenue, Kings Road, London SW3",1.0,1.0,1.0,1 bed flat ,Sloane Square,0.4 ,Short let. This outstanding 1 bedroom apartment is presented in excellent condition and is located on the 3rd floor of a sought after art deco building (with Lift and Porter) and boasts a modern open plan kitchen. Sloane Avenue is ideally located for ...,,https://www.zoopla.co.uk/to-rent/details/56113106
1950.0,"Commercial Street, Shoreditch, London E1",1.0,1.0,1.0,1 bed flat ,Shoreditch High Street,0.1 ,"Long let. Impeccably presented and offering a contemporary finish, this superb 1 bedroom apartment is arranged on the 2nd floor (with Lift access) and boasts a fabulous location close to restaurants and shops. Commercial Street offers an eclectic ...",,https://www.zoopla.co.uk/to-rent/details/55463159
1900.0,"Commercial Street, Shoreditch, London E1",1.0,1.0,1.0,1 bed flat ,Shoreditch High Street,0.1 ,"Long let. Finished to an exceptional standard and arranged with ample space to entertain, this modern 1 bedroom (plus study) flat is arranged on the 3rd floor (with Lift access) and offers easy access to Shoreditch High Street. Commercial Street ...",,https://www.zoopla.co.uk/to-rent/details/55454742
2050.0,"Boyd Street, Whitechapel E1",3.0,1.0,1.0,3 bed flat ,Whitechapel,0.2 ,"Student friendly Smart Property is pleased to offer this three bedroom flat in Whitechapel behind Sainsbury's, 3 minutes walking distance to Royal London Hospital and Underground station. This cosy 3 bedroom flat is furnished with beds, wardrobes, ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113100
1746.0,"Queen Elizabeth Street, London SE1",1.0,1.0,1.0,1 bed flat ,London Bridge,0.5 ,"One bedroom apartment on the second floor of this popular residential block in Shad Thames. This garden facing one bedroom apartment benefits a private balcony, separate kitchen and walk in wardrobe. The Circle is located on Queen Elizabeth Street ...",,https://www.zoopla.co.uk/to-rent/details/56113076
3200.0,"1 Viaduct Gardens, Embassy Buildings, London SW11",2.0,2.0,1.0,2 bed flat ,Vauxhall,0.4 ,"A fantastic brand new two bedroom two bathroom luxury apartment in the jewel of the Nine Elms regeneration project, Embassy Gardens. The Legacy Building forms part of Embassy Gardens, a ""state-of-the-art"" ultra-luxury development on the south bank of ...",Available immediately,https://www.zoopla.co.uk/to-rent/details/56113039
